"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1463.16/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method","PrivateNote"
"0x3cd9a7051e564cfb49bc63833f5b2696b1ad9ab24a9b82cd3f7ba396e866f914","63170749","1673274060","2023-01-09 14:21:00","0x7da04356b9536f4a949bfc17114e242e84afcdf4","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00021092006144748","0.308609797107495","1320.11","","","Mint To Multiple AL",""
"0x086a29f2c934e896c49281919798b56b34522157712bc6d5fa6f776460270606","63175359","1673274556","2023-01-09 14:29:16","0x0e4cb1ca39313a34b92ce39ba78748f7edd71e15","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000181953665736292","0.266227325558713","1320.11","","","Mint To Multiple AL",""
"0xa2ede02a934df8080031b45c9086f571cba01986fbb3edf664cdae80a5915599","63178771","1673274886","2023-01-09 14:34:46","0x082cdb957d0ef9ae865e71f0fbbc5d7e0aba6e8c","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000231317642704448","0.33845472209944","1320.11","","","Mint To Multiple AL",""
"0x1e513a9a0042bb9eda32656bafbc733a2bd0a14368208497fbe1f9468aa8f45f","63179387","1673274961","2023-01-09 14:36:01","0x9b41530560681faf2297de704b1df682759b0eb8","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000231317662704448","0.33845475136264","1320.11","","","Mint To Multiple AL",""
"0x3047238904150985f03609fe387e0a5a8a263c18aa0c44c2593674613763d0f3","63181485","1673275231","2023-01-09 14:40:31","0x9c9463f9cf0f2c7ad231c00b4971e68c29c298cb","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000231091870335596","0.338124381000231","1320.11","","","Mint To Multiple AL",""
"0x977b96536106dc109566ad02dddf8e94ebaba42f2d5fb876a091a7e9e3d68cc0","63183078","1673275411","2023-01-09 14:43:31","0xd03ac7736dc5115e983adfe49a10547731914cc6","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00027090957546784","0.396384054441525","1320.11","","","Mint To Multiple AL",""
"0x79d93bd1d3c861256457156767778744dfe81952de1052bbb388ce4af66f33e4","63186047","1673275711","2023-01-09 14:48:31","0x88b8dd3e10788b48314567f512cd3180716f8d5d","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00027135032071144","0.397028935252151","1320.11","","","Mint To Multiple AL",""
"0x0082696cbc5b7307591bdc01fb98a4cf818ee2f7633d5b1995b017729bf6504c","63191799","1673276326","2023-01-09 14:58:46","0xf95dfb129223ae03dc8121b16ee8c872db8d396d","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000270375076012048","0.395601996217788","1320.11","","","Mint To Multiple AL",""
"0x26c86833c9c15f1aea6545abedb72d8e23b1b12c5e4a248f0755be6f973630dd","63191864","1673276326","2023-01-09 14:58:46","0x827b4277ced13f7ecd6d37cc214c26bc6ba1d76b","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000230062845523656","0.336618753056393","1320.11","","","Mint To Multiple AL",""
"0x853d7ac3eb7837c0f5d7b7e7db3792677e3b97a20748aafd4c50e8c6bc2c86a3","63193021","1673276446","2023-01-09 15:00:46","0x0e9b063789909565ceda1fba162474405a151e66","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00010785819171","0.157813791782404","1320.11","Error(0)","execution reverted","Mint To Multiple AL",""
"0x383579ee0d54c151a060da6fe36b6212e3df1ff37980bc2c133c2511566883a1","63195787","1673276716","2023-01-09 15:05:16","0x0e9b063789909565ceda1fba162474405a151e66","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00028830256809","0.421832785526564","1320.11","","","Mint To Multiple AL",""
"0x5568ceb162d26cb889ba0e5a9f0a73192490e989e9815414ed35d58d576ba7e8","63198992","1673277031","2023-01-09 15:10:31","0xf5472dded051ab391358c427f87f8bfbc5c16ce7","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00027869211847392","0.407771160066301","1320.11","","","Mint To Multiple AL",""
"0x7e810836972075d157b228d84cbfd3ab2f974601fa4a763c6c39a574384128e3","63201475","1673277271","2023-01-09 15:14:31","0xf3a019d2f83d311bcda86e380fbb36041ecfff64","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000247504423300332","0.362138571996114","1320.11","","","Mint To Multiple AL",""
"0xc04561e0a2a830ab6028b880997024f8b4869e0885eacb3e6d610902fbea0fe7","63202458","1673277376","2023-01-09 15:16:16","0xf3a019d2f83d311bcda86e380fbb36041ecfff64","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000247446566300332","0.362053917947994","1320.11","Error(0)","execution reverted","Mint To Multiple AL",""
"0x53951b7e3c5396aa7e2adcff96f27dbef5489eb14818e51196fc7b5ab1c1d223","63205904","1673277736","2023-01-09 15:22:16","0xe077317c204bc995d556d9376f1adf048b512729","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000239136429200712","0.349894857749314","1320.11","","","Mint To Multiple AL",""
"0x151f7167d99563d50f413de8e678694d87e273c0cb25127862d290e769b36f60","63207365","1673277886","2023-01-09 15:24:46","0xf3a019d2f83d311bcda86e380fbb36041ecfff64","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000239624320543636","0.350608720846626","1320.11","Error(0)","execution reverted","Mint To Multiple AL",""
"0x70060a98d17f17ea6c831f6e269b865823286627875ff972414fa85292cf1c27","63213323","1673278561","2023-01-09 15:36:01","0x0e551a523bd88f3815a5d4cc6231fbd513b28b9a","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00032851432328372","0.480669017255808","1320.11","","","Mint To Multiple AL",""
"0x2f1bca1b418949912dafe08ea4eb4de76beb8e4de95c8995f3dd2af8308aed78","63222735","1673279596","2023-01-09 15:53:16","0x258b3859bd1ec183e1cb0d124590894a0dcf85a4","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00035432644386576","0.518436279606625","1320.11","","","Mint To Multiple AL",""
"0x3785d0b25b504237a37b7914ffdcbeda4cf5cfb54ba193f895dfeacfd7df88ae","63224106","1673279776","2023-01-09 15:56:16","0x863314e95f894639bab022b2189cecfe8c086abd","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00035386582215072","0.517762316338047","1320.11","","","Mint To Multiple AL",""
"0xaef6412b5f0e7c77163986bb25f1952dd642507e6ee0c0660ffeeeccc2b770f0","63227693","1673280286","2023-01-09 16:04:46","0x6c98bc1a1bf5282692267b76f4d12d401b13d380","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00102725193795618","1.50303394553996","1320.11","","","Mint To Multiple AL",""
"0xf368405dfa1deea94e6aae9afbb692f11b466ea49533dadff07c07f63edb7a3b","63228235","1673280376","2023-01-09 16:06:16","0x529656620d914443405a55ec42ad0eaeaf0b4a2c","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000801483550775144","1.17269867215216","1320.11","","","Mint To Multiple AL",""
"0x0ab06111f25a4c87d8896d44c16cce27e0cfc9f6a03af459f416e44f2b2701cc","63229572","1673280631","2023-01-09 16:10:31","0x529656620d914443405a55ec42ad0eaeaf0b4a2c","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000717432309052896","1.04971825731384","1320.11","Error(0)","execution reverted","Mint To Multiple AL",""
"0x3a957f8931b8ed48cfd395689fc008d73e41b078d86c015750776c4b5335cedf","63230559","1673280811","2023-01-09 16:13:31","0x3f286cc85f53d1fb7fe9ada4abd030f01ee45228","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00054555519003616","0.798234531853308","1320.11","","","Mint To Multiple AL",""
"0xf5584607a87a646b6d653bee3757200ab227a3aa3c2dad9092be8cc41ecc20b5","63232012","1673281006","2023-01-09 16:16:46","0xb26b5137be5a7bb991fa63a36a8eaa3daf394b7b","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00046492112297636","0.680253990294091","1320.11","","","Mint To Multiple AL",""
"0xc271ec00159673358fabdc5e929ade3d6d1b9cbc6901a9b9415c490a46ed6c30","63234207","1673281306","2023-01-09 16:21:46","0x529656620d914443405a55ec42ad0eaeaf0b4a2c","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00017669068559744","0.25852674353875","1320.11","","","Safe Transfer From",""
"0xf5a668c7875f487831e2ce4043fa36f71c81912d990d2791249c83fd5808873d","63235878","1673281546","2023-01-09 16:25:46","0x7972b36937c58b74700c6f8d32801c6d67996bf3","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000185310502612","0.271138915001774","1320.11","","","Safe Transfer From",""
"0xd6ed8f0e109d190e7a93796890a99422cba46c6cc1cb2768cd3c125a98a5314d","63240108","1673282161","2023-01-09 16:36:01","0xb8569a63435b283c0be0312b06084d09c91c0512","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00052092815481568","0.76220123900011","1320.11","","","Mint To Multiple AL",""
"0x7228260fdb7d613ac87b588ede205ce5c977fa5d6519b2d56842812ca09a7661","63241078","1673282311","2023-01-09 16:38:31","0xb8530006b544561e8ae916bd34b06e6d7ad0c001","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000587275586707308","0.859278147446665","1320.11","","","Mint To Multiple AL",""
"0xb273138f83f4b14ebc20cd3e9f4ee5a0136960abcf4ed2d04811caaa0d845d8e","63241954","1673282476","2023-01-09 16:41:16","0x3491aef77c91edd435347cc61a926a31157a497d","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00052858340967538","0.773402101700629","1320.11","","","Mint To Multiple AL",""
"0x52944ea30269dcf966f04995f87df19b91a887ae1085a37776045bb328fddfea","63243137","1673282671","2023-01-09 16:44:31","0xf5f61157f3c13e4bbc5c42e75ae80946b72de83f","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000498412441763056","0.729257148290033","1320.11","","","Mint To Multiple AL",""
"0xaa0aadf2ccc9d819fafd83a0a8b10999c545ea930b497953068889bd2f0054df","63244020","1673282822","2023-01-09 16:47:02","0xcf00e62f7f0cb59d78689dac4a5733d6b9a37d01","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000496631066966048","0.726650711942043","1320.11","","","Mint To Multiple AL",""
"0x1415a8239b761becc0944c36adfe92c40274c9d631576700e858a6c44557b90a","63251855","1673284142","2023-01-09 17:09:02","0x5e156540978a1f1ef032976f77d5d273ca83ace7","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000502926367911544","0.735861744473455","1320.11","","","Mint To Multiple AL",""
"0x6977326aa54b3ace743a4f49ef89b6d5db82be51de49a2fc2ba2d0570bc4ddcf","63252305","1673284202","2023-01-09 17:10:02","0xe97f557c7991ed5290234b3225254d12df62732d","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000503746156912704","0.737061226948392","1320.11","","","Mint To Multiple AL",""
"0x29801316e75efcde2adb3964bf17d3af940ccdadae589837dd308a99e68ee1ea","63253756","1673284442","2023-01-09 17:14:02","0xcd1ff54458fcf47a90d57b546dd6e09a2a8cf561","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.000504401935313632","0.738020735673494","1320.11","","","Mint To Multiple AL",""
"0x67232245f6e67e5c36ce421faf1ae3ee7c0222d75c8830075573a0313c0c2e18","63257620","1673285207","2023-01-09 17:26:47","0xe23507db4351cd60067a8f2d328328bd9fa8df34","0x00e3aa03e47c32397a94509e50b0558988c0d04e","","0","0","0","0.00040628239770184","0.594456153021424","1320.11","","","Mint To Multiple AL",""
